			0	1	2	3	4	5	6	7
can0	17A		31	C5	45	AA	0	0	32	0
can0	17C		18	4C	50	8	5F	0C	0	0
can0	17E		0	0	0	0	0	40	8	0
can0	20C		0	0	0	0	0	0	0	0
can0	12E		C5	7F	FC	7F	E0	FF	FF	0
can0	90		0	0	0	0				
can0	0C6		80	0A	80	0	80	0B	A2	C8
can0	211		4E	0E	9	53	DD	20	0	E2
can0	242		0	0	FF	EF	FE	0	0D	
can0	214		4	0						
can0	29C		0	0	0	0	FF	FF	FF	FF
can0	352		5C	0	0	0				
can0	653		0	41	58	0				
can0	186		18	48	31	A3	1C	0	21	
can0	189		31	C3	1C	3F	70	CE	0	0
can0	18A		31	C8	0	6	A4	4	2A	0
can0	1F6		1E	20	80	5C	81	1	5	FE
can0	217		0B	0	0	0	0	0	0	
can0	2C6		FF	FF	FF	FF	FF	F0		
can0	17A		31	C5	45	AA	0	0	32	0
can0	17C		18	48	50	8	5F	0C	0	0
can0	17E		0	0	0	0	0	40	8	0
can0	20C		0	0	0	0	0	0	0	0
can0	12E		C5	7F	FC	7F	E0	FF	FF	0
can0	90		0	0	0	0				
can0	0C6		80	0A	80	0	80	0B	A4	C6
can0	1BD		0C	C0	0D	9C	0	0	1	6B
can0	29A		0	0	0	0	0	0	9	F6
can0	2B7		0	E0	FF	FE	1			
can0	356		67	FF	0	FF	0	0		
can0	564		5	C0						
can0	186		18	48	31	A3	1C	0	21	
can0	189		31	C3	1C	3F	70	CE	0	0
can0	18A		31	C8	0	6	A4	4	E7	10
can0	1F6		1E	20	80	5C	81	1	5	FE
can0	3F7		8	10	4					
can0	17A		31	C5	45	AA	0	0	32	0
can0	17C		18	48	50	8	5F	0C	0	0
can0	17E		0	0	0	0	0	40	8	0
can0	20C		0	0	0	0	0	0	0	0
can0	12E		C5	7F	FC	7F	E0	FF	FF	0
can0	90		0	0	0	0				
can0	0C6		80	0A	80	0A	80	0B	A6	BA
can0	211		4E	0E	9	53	DD	20	0	E2
can0	242		0	0	FF	EF	FE	0	0D	
can0	214		4	0						
can0	29C		0	0	0	0	FF	FF	FF	FF
can0	354		0	0	0	0	0	0	0	0
can0	392		0	46	0	0	0			
